DATA_STRD_YR,LTTC_ID,CTPR_CD,SIGNGU_CD,LEGALDONG_CD,CENSUS_BNDR_CTPR_CD,CENSUS_BNDR_SIGNGU_CD,CENSUS_BNDR_EMD_CD,TKCAR_TRFC_QTY,AVE_TRAF_NMTM,AVE_TRAF_WAIT_TM,PBTS_TRAF_TRFC_RATE
2023,다사79a09b,41,41461,4146110900,31,31191,31191540,4.0,0.0,,0.0
2023,나라98a40b,46,46830,4683025300,36,36610,36610120,22.0,0.0455,1178.0,0.0435
2023,다라71a57a,46,46780,4678036000,36,36560,36560360,6.0,0.0,,0.0
2023,라바51b38b,47,47250,4725044000,37,37080,37080440,8.0,0.0,,0.0
2023,다마74a41a,45,45750,4575033000,35,35550,35550330,10.0,0.0,,0.0
2023,라라49b47b,48,48840,4884033000,38,38550,38550330,17.0,0.0,,0.0
2023,마마66a85a,47,47113,4711311700,37,37012,37012610,8.0,0.5,,0.0
2023,라바01b20b,30,30110,3011013200,25,25010,25010730,8.0,0.0,,0.0
2023,다마59b36b,45,45180,4518044000,35,35040,35040440,7.0,0.0,,0.0
2023,다라66b48a,46,46780,4678033000,36,36560,36560330,6.0,0.0,,0.0
2023,마바08a85b,47,47920,4792031000,37,37610,37610310,12.0,0.5833,,0.0
2023,다라97b97a,46,46730,4673035000,36,36530,36530350,14.0,0.0,,0.0
2023,다다24b01a,50,50110,5011025900,39,39010,39010140,3.0,1.0,,0.0
2023,다라84b32a,46,46770,4677038000,36,36550,36550400,2.0,0.0,,0.0
2023,마마76b80a,47,47111,4711132000,37,37011,37011320,5.0,0.2193,,0.0
2023,다바59a79b,44,44200,4420036000,34,34040,34040350,6.0,0.1667,,0.0
2023,라사17b69b,51,51110,5111040000,32,32010,32010360,8.0,0.0,,0.0
2023,마사49a22a,51,51230,5123033000,32,32070,32070330,3.0,0.0,,0.0
2023,다바05b90a,44,44210,4421025000,34,34050,34050110,2.0,0.0,,0.0
2023,라바66a32b,47,47250,4725032500,37,37080,37080480,1.0,0.0,,0.0
2023,라바83b31a,47,47730,4773047000,37,37520,37520470,1.0,0.0,,0.0
2023,다라20a03a,46,46820,4682035000,36,36600,36600350,1.0,0.0,,0.0
2023,라사17b88a,51,51110,5111012900,32,32010,32010570,1.0,0.0,,0.0
2023,다라92a27a,46,46770,4677037000,36,36550,36550380,1.0,0.0,,0.0
2023,다사54a21a,41,41115,4111513800,31,31013,31013710,390015.0,0.4745,752.0,0.0489
2023,다사57b46a,11,11680,1168010800,11,11230,11230520,1.3088631E7,0.2124,429.0,0.1534
2023,다사51a40b,11,11620,1162010200,11,11210,11210730,781628.0,0.5527,380.0,0.2574
2023,마라35b87b,26,26530,2653010300,21,21150,21150560,336332.0,0.262,323.0,0.2906
2023,마마46b28a,31,31710,3171026500,26,26510,26510160,866.0,0.1629,618.0,0.0035
2023,다사67a36b,41,41133,4113310100,31,31022,31022510,1802925.0,0.2013,540.0,0.5311
2023,다사33a49a,28,28245,2824510600,23,23070,23070620,89358.0,0.3298,957.0,0.0211
2023,다사65a47b,11,11710,1171010200,11,11240,11240520,862894.0,0.6061,1118.0,0.0211
2023,다마65b56b,45,45111,4511114000,35,35011,35011710,149779.0,0.0701,655.0,0.1183
2023,마라35b88a,26,26530,2653010300,21,21150,21150560,416492.0,0.2584,431.0,0.0994
2023,다바89a10a,30,30140,3014011900,25,25020,25020690,90756.0,0.3838,1735.0,0.1284
2023,다사43b51a,11,11500,1150010400,11,11160,11160660,2891439.0,0.1869,590.0,0.0302
2023,다사49b50b,11,11440,1144011400,11,11140,11140660,957941.0,0.2603,677.0,0.2276
2023,다사31a57b,41,41570,4157010600,31,31230,31230530,360230.0,0.1949,496.0,0.3315
2023,다사44a41a,41,41210,4121010300,31,31060,31060620,442966.0,0.5273,652.0,0.078
2023,다사60b58b,11,11350,1135010200,11,11110,11110510,1250862.0,0.5639,415.0,0.2411
2023,마라44a95a,26,26410,2641010800,21,21110,21110610,380164.0,0.2734,583.0,0.1691
2023,다사35a69b,41,41480,4148012200,31,31200,31200512,1929554.0,0.1421,286.0,0.3741
2023,다사22b62a,41,41570,4157025600,31,31230,31230130,381148.0,0.2721,839.0,0.0836
2023,라라23a36a,46,46130,4613025000,36,36020,36020110,110201.0,0.3084,1887.0,0.0249
2023,다바61b64a,44,44200,4420025300,34,34040,34040120,133795.0,0.1692,939.0,0.0443
